file,sentence_cleaned
asr_sinhala/data/bd/bd473d7d44.flac,උත්තරාකන්ද් ප්‍රාන්තයේ කඳුකර ප්‍රදේශයන්හි
asr_sinhala/data/36/362179b02d.flac,නමුත් කෘෂි කර්මයෙහි නියැළෙන්නට ජනතාව
asr_sinhala/data/30/304d16b840.flac,ඒ විශ්වාසය නෑ රටේ ජනතාවට.
asr_sinhala/data/d6/d68176a7b9.flac,බිබික්කමක්වත් විකුණා ගන්නට බැරිය
asr_sinhala/data/0a/0a6c07514d.flac,පැහැදීමක් මත පදනම් නොවේ.
asr_sinhala/data/e1/e19f67b557.flac,දේවාලයේ කපු මහතා හෙවත් පූජකයා
asr_sinhala/data/b8/b8ea26deb2.flac,පිරිත් පැන් බෙදා හරින
asr_sinhala/data/94/94df0f21dc.flac,ඇයත් මනාලයාත් තම මංගල දිනයේ දී කොළ පැහැයෙන් සැරසී සිටි
asr_sinhala/data/65/652c36126e.flac,පෙරුම් පුරා ප්‍රාර්ථනා කර ඇති බව අපි දනිමු.
asr_sinhala/data/4e/4e2520e546.flac,දැන් කටයුතු කරන ආකාරය පිළිබඳව
asr_sinhala/data/83/83f69815aa.flac,"යක්‍ෂ, නාග ගෝත්‍රිකයන් සමඟ"
asr_sinhala/data/83/8328c33b2d.flac,කුමර බ්‍රහ්මචර්යාව ආරක්ෂා කළහ.
asr_sinhala/data/4b/4bcfe5f97e.flac,සිංහල රාජධානිය අනුරාධපුරයේ පිහිටුවා
asr_sinhala/data/99/99c798cc07.flac,අප මෙහි කතා කරන
asr_sinhala/data/29/2909324710.flac,මේ වන විට සරණංකර සාමණේරයන් පිණ්ඩපාතයෙන් යැපුණේය.
asr_sinhala/data/e1/e117ddbb42.flac,නමුත් අපිරිසිදු බවකින්
asr_sinhala/data/46/46e411e2d0.flac,එක්තරා කාලයක පාර්වතී දේවිය
asr_sinhala/data/5e/5e68daf3cc.flac,ආලෝකයෙන් ආලෝකය වෙත පියමං කළ
asr_sinhala/data/99/99ec11792f.flac,එතුමන් සතුව සිටි සුරතලූන් අතර
asr_sinhala/data/6a/6a4192f423.flac,දම්පියා අටුවා ගැටපදයයි.
asr_sinhala/data/25/2528f5b512.flac,ලොවට ප්‍රාඥයන් දහස් ගණනක් බිහිකළ
asr_sinhala/data/5b/5b4ecb48ef.flac,කඳුළු පාෂාණය හොයාගෙනයි
asr_sinhala/data/05/05c798c33c.flac,විචාරක නිහඬියාව නිසාවෙනි මේ ආධුනික සටහන
asr_sinhala/data/af/af01b64e9e.flac,තහවුරු වෙන්න ඕනි.
asr_sinhala/data/66/66e20e7dcf.flac,අපූරු සිතුවම් බොහොමයක් මෙහි දැකිය හැකිය.
asr_sinhala/data/fb/fb8065e9a0.flac,මල් වට්ටිවල තැන්පත් කර ගත යුතුය.
asr_sinhala/data/dd/dd34e5ca2d.flac,ගොඩක් කරදර විදින්න සිදුවෙයි.
asr_sinhala/data/d9/d91f8ac405.flac,තව කියලා ඔප්පුකරන්න දෙයක් නෑ
asr_sinhala/data/1a/1a7957aa14.flac,එහි ශිරෝෂි රගනු ලැබුව
asr_sinhala/data/19/19d1c101bf.flac,යමකු යම් අකුසල කර්මයක් කළහොත්
asr_sinhala/data/27/27e6f56d0a.flac,ඔබ වැඩුණු ගැහැණියක වූ පසු
asr_sinhala/data/7a/7aef034223.flac,එදින රාත්‍රිය තිවක්ක නැමති බමුණු ගමේ
asr_sinhala/data/e8/e87974ae3f.flac,ගයාන්ට මීට කලිනුත් ඔයවගේ සම්බන්ධකම් තිබුණා.
asr_sinhala/data/1e/1eccebde72.flac,ඒවගෙන් දීර්ග කාලීනව තියන බලපෑම් ගැන හොයල තියනවද?
asr_sinhala/data/eb/ebe0243e55.flac,දාන්න බැරි වෙන අවස්ථා තිබේ.
asr_sinhala/data/98/98f14d7caa.flac,තුන්වන පාර්ශ්ව ගැන
asr_sinhala/data/22/227592f0ae.flac,ඉඩ කඩ ඇති වසරකි.
asr_sinhala/data/e1/e1655e7ddb.flac,මෙය නුඹට අදාළ නොවන බව සිතමි
asr_sinhala/data/37/3738d457de.flac,ඉතින් ඔයවගේ කතන්දර
asr_sinhala/data/fb/fb3f70ff2c.flac,අවතාරයක් වී අදටත් පාරේ
asr_sinhala/data/a1/a16dde9375.flac,කියවන්න ලැබෙයි නේද?
asr_sinhala/data/26/261cee455e.flac,මේක පිලිබඳව යම් දැනුවත් කිරිමක් කලයුතුයි සිතනවා.
asr_sinhala/data/af/afb0b29694.flac,එම ස්ථානය බලනගල වශයෙන්
asr_sinhala/data/24/248dabd589.flac,එම අධර්මිෂ්ඨකම් නිමා කළොත්
asr_sinhala/data/ef/ef06ce60ff.flac,එවිට සක්දෙවිඳු කියනවා දෙවිවරුනි
asr_sinhala/data/86/86352a058d.flac,බාගදා හෙට එන්න බැරි නෑ
asr_sinhala/data/9d/9d08e8ec6f.flac,මිනිසුන්ගේ ආයුෂ
asr_sinhala/data/fe/feef2e6801.flac,ඒවයන් බුදුදහමට පටහැනි
asr_sinhala/data/69/69a517883d.flac,ඔබට බුදුන් දැකීමට අවශ්‍යය නම්
asr_sinhala/data/e4/e4323a2215.flac,බේත් කරන බහුතරයක් හොර වෙද්දු
asr_sinhala/data/53/5377dd60bf.flac,කතාවට හානියක් වෙලා තියෙනවා
asr_sinhala/data/43/4325ff42e4.flac,බුදුරජාණන් වහන්සේයි.
asr_sinhala/data/f9/f960e3496d.flac,හුඟක් සමයි වගේ.
asr_sinhala/data/f4/f41712bfb5.flac,ඔය වැදගත්
asr_sinhala/data/d8/d899d20e8e.flac,හිතමිතුරන් අතර සුහදතාව
asr_sinhala/data/87/8747b6f289.flac,වැදගත් තැනක් හිමි වෙයි.
asr_sinhala/data/10/10eed90798.flac,දාලා තියෙන්නේ.
asr_sinhala/data/f2/f2c0f2554a.flac,ආර්ථික වශයෙන් යහපත් වුවද මුදල් ඉතිරි කරගැනීමට අ‍පොහොසත් වේ.
asr_sinhala/data/78/780cfcc9b0.flac,ස්වයං හික්මීමක් නැති
asr_sinhala/data/9a/9a1ba384a0.flac,තීරණ ගැනීමේ බලය පැවැරෙනන්නන්ට
asr_sinhala/data/05/051fd46fef.flac,උඹලව යොදවල තියෙන්නේ
asr_sinhala/data/a2/a212dcfb8c.flac,එකී මුදල් ප්‍රමාණයන් එලෙසම අය වන්නේ නැත
asr_sinhala/data/4d/4d8274f41e.flac,පොලිසියෙන් බේරගන්න තිබුණා නේ?
asr_sinhala/data/43/43727da4d6.flac,එත් මම හිතන්නේ කිපදෙනයි
asr_sinhala/data/fb/fb7e243a7a.flac,ඒක නීරස එක්ක වෙන්න බැහැ නෙව
asr_sinhala/data/fc/fc095e5fe3.flac,ඔහුගේ සියලූ ව්‍යර්ථයන්
asr_sinhala/data/72/7285f53562.flac,කරන අපහාසයක්.
asr_sinhala/data/18/18e3469fda.flac,ආඩම්බර වන බව ඇය පැවසුවාය
asr_sinhala/data/a1/a1a0e4eb0c.flac,ඒ ත්‍රිකෝණ දෙකේ අනුරූප පාද
asr_sinhala/data/e0/e074cde9f1.flac,අර කිව්ව වගේ මානසික අසනීප ගොඩක්
asr_sinhala/data/37/3709449c61.flac,මා නිහඩව සිටියෙමි
asr_sinhala/data/dd/dddcec2dd6.flac,ඒකට සුදුසු බුද්ධිමට්ටමක්
asr_sinhala/data/09/09ae775d29.flac,කිඳුරා සක් දෙවි රඳුගේ පිහිටෙන්
asr_sinhala/data/d3/d318ef848a.flac,අනේ බලන්න
asr_sinhala/data/5b/5be99dfb63.flac,ලොව විවිධ දේශයන්හි ව්‍යාප්ත වන්නට විය.
asr_sinhala/data/50/504600067e.flac,එක්තරා අන්දමකට ඒක පාර්ශ්වික වූ
asr_sinhala/data/7b/7bf15ec751.flac,සැප විපාක උදාකර ගැනීමට
asr_sinhala/data/85/8552827541.flac,හැබැයි අම්මටයි තාත්තටයි
asr_sinhala/data/75/7564b16681.flac,නැවත එලියට එන ක්ලෙයා
asr_sinhala/data/39/39bae69baf.flac,ඒ සමඟ අහෝසි වනු ඇත.
asr_sinhala/data/4a/4a79659928.flac,ඔහුගේ තත්ත්වය ස්ථාවර මට්ටමකට
asr_sinhala/data/40/4032e883de.flac,රැවටීමට ලක්කිරිමට උත්සාහ කරන
asr_sinhala/data/64/6493909aef.flac,"රජතුමනි, අනාගතයේදී අදමිටු රජවරු"
asr_sinhala/data/62/62842a9a5b.flac,එල්.ටී.ටී.ඊ.යේ වළිග කොට
asr_sinhala/data/22/229a4bbf0b.flac,එක්තරා කාන්තාවක් සමඟ විවාහ වුනා.
asr_sinhala/data/46/466e969046.flac,ප්‍රතිපත්තියි දෙකම නැති කරගත් එවුන්
asr_sinhala/data/fa/faa3592153.flac,අපේ තීරණයට සහය දක්වන්න කියලා.
asr_sinhala/data/e4/e4c3ac2ae0.flac,ධර්ම ග්‍රන්ථවල සඳහන් වෙයි.
asr_sinhala/data/c1/c1d1b2a773.flac,ඔවුන්ට තේරෙන්නෙ නෑ.
asr_sinhala/data/a7/a7d63967be.flac,අද ඔබට වාදයකට නොව
asr_sinhala/data/ca/ca2cc68f03.flac,උඹට පැනලා යන්න බෑ.
asr_sinhala/data/54/542ac08aa1.flac,දේශනා කොට වදාරණ ලද්දේ ඒ නිසාමයි.
asr_sinhala/data/28/28ec7a6696.flac,එකල්හි බුදුරජාණන් වහන්සේ
asr_sinhala/data/85/85d8a5b8b2.flac,වෙසක් උත්සවයේ අසිරිය වැඩි වීමක්
asr_sinhala/data/11/11b8688d27.flac,මගේ දිහාවටත් ආව.
asr_sinhala/data/b5/b5faff0898.flac,ඒත් එහිදි
asr_sinhala/data/a6/a6a77279d8.flac,හොඳ ප්‍රතිඵලයකට
asr_sinhala/data/ff/ffd98b07fd.flac,අර පාර දිගට මනිබඩු විකුණන කොල්ලො
asr_sinhala/data/e9/e92854e4d5.flac,මේ ආකාරයට පිරිහී යෑම
asr_sinhala/data/af/af34fdac03.flac,සොන්යා ගේ අභිරහස් ගමනක් ගැනයි.
asr_sinhala/data/0d/0d963caa08.flac,ප්‍රථම ස්තූපය මිරිසවැටිය චෛත්‍ය නිසා
asr_sinhala/data/85/859b5e2319.flac,මලු පුරවාගන්නෝ තමා.
asr_sinhala/data/20/20b7435b5f.flac,මේ ක්‍රමයට මිනිස්සු ඇඳී යන්න ප්‍රධාන හේතුවක් වෙලා තියෙනවා
asr_sinhala/data/70/70d752cb08.flac,සාජන්ගේ එම වචන කීපය ඇසීමත් සමගම
asr_sinhala/data/70/70384f7207.flac,එය විවෘත කරනවා.
asr_sinhala/data/26/261ffa6057.flac,යන්න නොවේ.
asr_sinhala/data/af/afd7b1a879.flac,අනවශ්‍ය පමනට ඔහුව යොදා ගැනීම
asr_sinhala/data/66/66b57add96.flac,ශ්‍රාවක බෝධිය නම්
asr_sinhala/data/a9/a93776e764.flac,එම සංයුතිය
asr_sinhala/data/e5/e5b3b759f9.flac,ගෘහණියන්ට උයන පිහන ගමන් බලන්න.
asr_sinhala/data/e1/e18071eee5.flac,ඒත් පසුගිය කාලේ
asr_sinhala/data/40/4015bd9eb0.flac,එල්ලිලා යන එක
asr_sinhala/data/4f/4f0beb48eb.flac,එසේ මතකයට නැඟුනත්
asr_sinhala/data/a4/a4095ea72d.flac,පැඟිරි පළතුරක් අනුභවයේ දී
asr_sinhala/data/5e/5e059a01b2.flac,ආර්ථිකය සතුටුදායක තත්ත්වයක පවතින අතර
asr_sinhala/data/0f/0f75f61c4a.flac,ඔය පොතේ නමත් හරියට
asr_sinhala/data/68/68c66ba5e9.flac,පතුලෙහි සිට බටහිර දෙසට මීදුම් තල්ලූවීම
asr_sinhala/data/ff/ffc5b50d81.flac,උපකල්පනය කළ
asr_sinhala/data/a3/a384e54712.flac,දැකීමෙන් උපදින විස්මයක් ද?
asr_sinhala/data/b4/b4d492ef95.flac,මේක තමා ලංකාවේ බොහොමයක් සමාගම් තුල තත්වය.
asr_sinhala/data/ff/ff7a12fe5c.flac,මහල්ලන් ලෙස සැලකීම විහිළුවක්.
asr_sinhala/data/27/279eb00d5b.flac,අපේ මේ සටන සඳහා
asr_sinhala/data/48/482f4859a9.flac,ඒ අමා නිවන් සුව
asr_sinhala/data/fb/fb06fbc651.flac,රට ගිය කාන්තාවගේ
asr_sinhala/data/be/bef831144f.flac,සවන් දී ඇති බව පැහැදිලිය.
asr_sinhala/data/3f/3f48eade44.flac,ඉහළතම ආදායම ලාභියා ද වනවා
asr_sinhala/data/3f/3fae67f971.flac,අනික්‌ එඋනුත් ඌට රැවටිලා
asr_sinhala/data/d3/d3737e5345.flac,මේ නිසාවෙන් ගෙයක් නැත
asr_sinhala/data/81/8156d61669.flac,මෙහි තොරතුරු බොහො සේ උපකාරි විය.
asr_sinhala/data/64/64846bbd65.flac,නැහැ
asr_sinhala/data/c1/c16b14037d.flac,මෙමගින් අපේක්ෂිත පරමාර්ථ කිහිපයකි
asr_sinhala/data/03/03bdc317bd.flac,ලෝකෙට පෙන්නුවා කියල මොනවද
asr_sinhala/data/c3/c3bf6b8ffc.flac,විනෝදාත්මක කටයුතු සඳහා
asr_sinhala/data/88/88888fb885.flac,එවන් ස්ථාන අතරට ශ්‍රී ලංකාවේ ද
asr_sinhala/data/3b/3ba3b39b24.flac,මේ සක්කාය දෘෂ්ටිය යනු
asr_sinhala/data/c4/c4117b4423.flac,එකම අවාසනාව
asr_sinhala/data/18/1830b984ae.flac,නියම සිංහලකම වැළඳ ගත්තා..
asr_sinhala/data/c7/c7e024ff73.flac,බුදුන් කාලයේ උත්පලවණ්ණා තෙරණිය
asr_sinhala/data/f5/f5aaf3dcda.flac,කලාපුර වටරවුමේ ඇවිද යෑම
asr_sinhala/data/85/8587f232bd.flac,මගේ ලිපිය පළ කරන්නේ නැද්ද?
asr_sinhala/data/43/43852c3ba2.flac,ඉවතලා අලුත් වස්ත්‍රයක් ඇඳගන්නාක් මෙනි.
asr_sinhala/data/4d/4ddc7418c2.flac,මම ද මාගලෙහි හිඳගෙන අම්මා කෙරෙහි
asr_sinhala/data/42/4262dc7867.flac,"එනම් භාවනාවට සත්පාය, අසප්පාය කරුණු වන,"
asr_sinhala/data/d3/d352232a68.flac,ජීව රසායනික පර්යේෂණාගාරයක සිදුවන පිපූරුමකින් පසු
asr_sinhala/data/df/df3b6e62f9.flac,තවත් ගැටයක් තිබී ඇතැයි ද සඳහන් වේ
asr_sinhala/data/b6/b67be138dc.flac,ඔන්න දැන්නම් ඉතිං තද වෙනවා
asr_sinhala/data/2f/2fb0f94e0b.flac,මගේ වෑයම ගැන අදහස් දක්වලා යන්න
asr_sinhala/data/f1/f15d0eca0d.flac,ඔබතුමා බුදු දහමේ හරයවත්
asr_sinhala/data/d8/d89697ba21.flac,ක්ෂුද්‍ර ජීව විද්‍යාව පිළිබද උපාධියක් ලබාගත්තේ
asr_sinhala/data/fa/fa85116f9d.flac,සිදුවන වකුගඩු නරක් වීම
asr_sinhala/data/ea/ead53d7822.flac,බටහිර රටවල් කිසිසේත් කැමැත්ත දක්වන තත්ත්වයක් නොවේ
asr_sinhala/data/18/187ca4ac34.flac,රසායනාගාරය වසා දමා
asr_sinhala/data/d9/d9d9767d9f.flac,අඩුවීමක් දක්නට ලැබුනේ නැහැ.
asr_sinhala/data/7e/7e71d3583f.flac,පුරෝගාමී වූ බව
asr_sinhala/data/2b/2b0053f58c.flac,සිතියම් කියවීම
asr_sinhala/data/ef/efc70ef351.flac,අනික කරුන නම් ශාක්‍ය වංශය
asr_sinhala/data/bf/bfbeadcc74.flac,තනිවු සුළුජන ආගමික සමාජයක් ඉන්දියාවේ පවතිනවා
asr_sinhala/data/e5/e504a73cb0.flac,ඉතුරු බාගේ පස්සෙ දෙනවා
asr_sinhala/data/f5/f5b9e34663.flac,සිංහ ව්‍යාපාරිකයන්ට
asr_sinhala/data/0c/0c4b870ec4.flac,"බුදුන්ගේ ධර්ම ප්‍රචාරක කටයුතු පිළිබඳ,"
asr_sinhala/data/e9/e9d6ff6b7a.flac,ඒත් අන්තිමේදී
asr_sinhala/data/43/4335f4004e.flac,තියෙන්න ඇති කියලා මා හිතනවා.
asr_sinhala/data/12/12963cedf2.flac,අශේන් ප්‍රියදර්ශන අපි වගේ
asr_sinhala/data/8d/8dab76e493.flac,මහ සයුරේ රළ මෙන්
asr_sinhala/data/f4/f41c9aca3e.flac,නොදැනුම නිසා පරිවර්තනය කලාම
asr_sinhala/data/a1/a1f7a95c4f.flac,ගූගල් දත්ත මධ්‍යස්ථාන වල
asr_sinhala/data/d1/d12052b212.flac,සිංහල සමාජය තුළ දී කොටින්ට
asr_sinhala/data/dd/dd409d3f2c.flac,එච්චර ගාණක් දීලා අරන් මොනවද කරන්න තියෙන්නේ
asr_sinhala/data/01/014aedb24b.flac,හැබැයි ඉස්සරහට තියපු පය
asr_sinhala/data/50/50624e9d4c.flac,එබිලා බලන්න ලැබෙන එක
asr_sinhala/data/af/af81080750.flac,වයස්ගත වීමක් නොවෙයි.
asr_sinhala/data/6f/6f3a31d3da.flac,ඔයාට වගේ බෑ කියලා.
asr_sinhala/data/60/6057be5733.flac,මැටි කළයක් තුලට ඇතුළුවන ශබ්ද තරංග
asr_sinhala/data/45/450371fba8.flac,පසුකාලීනව එකතු කරන ලද්දකි.
asr_sinhala/data/d5/d5ddb2b99b.flac,සංක්‍රමණිකයන් එන එක වලක්වගන්න
asr_sinhala/data/fb/fb52fe8e5b.flac,චුති සිත සඳහා
asr_sinhala/data/6c/6c5e96fd6c.flac,ඒත් ඔබට
asr_sinhala/data/24/24baeaac64.flac,මේ ගාථා පැහැදිලි කරදීමෙන් නිමාවට පත්විය.
asr_sinhala/data/2d/2d6a3051bb.flac,නමුත් එතුමා නොදන්න නොදකින
asr_sinhala/data/50/50309335a4.flac,කොකෙකු මතුවී ඇත
asr_sinhala/data/88/886c5ad83c.flac,එම බිල්ලා ඉවත් කරන්න ගියොත්
asr_sinhala/data/22/22ea5c87b1.flac,සාහිත්‍ය කියන එක මොකටද තියෙන්නෙ
asr_sinhala/data/4a/4a33fe53ec.flac,කොහොමත් එන්නෙ නැ නෙ
asr_sinhala/data/64/6421560b40.flac,ඒවා හෙණ ගාම්බීර වොයිස් වෙන්ඩ ඇති
asr_sinhala/data/55/55295c617c.flac,ඒ අතර එයි.
asr_sinhala/data/a1/a1653bde95.flac,තාත්තා හැම තිස්සෙම කිව්වේ
asr_sinhala/data/fc/fc90c4a78e.flac,රැකියා කටයුතුවලදී තරමක් දුෂ්කරතාවලට
asr_sinhala/data/52/522ab2555a.flac,එම වයස් සීමාව ඉක්මවන
asr_sinhala/data/9e/9e7208aa43.flac,දේවාල තල්පත කියවනු ලැබේ.
asr_sinhala/data/5a/5a7345a3d0.flac,ඊටත් වඩා ගොන්පාට් වෙන්න ගියොත්
asr_sinhala/data/24/24d1aaf7da.flac,කල්පනා කරලා බලන්න
asr_sinhala/data/99/997e1c5cd6.flac,මේ දේශනාව පැවත්වෙන විට
asr_sinhala/data/0c/0c3394d98c.flac,යටි හිතේ තියාගෙන.
asr_sinhala/data/8e/8efe412527.flac,දේශීය ජනයාගේ අහිංසකත්වය
asr_sinhala/data/53/5394756668.flac,යුද්ධය සදහා භාවිතාකරන එකදු පතොරමක්වත්
asr_sinhala/data/83/83b8623244.flac,බුද්ධිය පදනම් කරගත්
asr_sinhala/data/f2/f2561cf18a.flac,ඉතාම සුළු පිරිසක් නේද
asr_sinhala/data/14/14fb726bc6.flac,අතන මෙතන පොඩි පොඩි ෆයිට් මිසක්.
asr_sinhala/data/ee/ee82bc62e7.flac,මම එයාව ගෙදරින් එළියට දැම්මා කියලා.
asr_sinhala/data/c7/c7766fb210.flac,උපත කියන්නේ යම්කිසි නිෂ්පාදනයක් කියලා.
asr_sinhala/data/0b/0b2e9cd089.flac,මේ බුද්ධ චරිතය තුළ දක්නට ඇති සමානාත්මතාවයි.
asr_sinhala/data/d4/d42f3c9326.flac,ආයේ ඉතින් අමුතුවෙන් කියන්න ඕනි නෑනේ
asr_sinhala/data/36/3613c9c170.flac,එහෙත් ඔහු තම අවශ්‍යතාවය සපුරා ගන්න
asr_sinhala/data/e5/e5afaff722.flac,මෙඩූසාගේ තත්වය තේරුම් ගන්න අපහසුවේවි
asr_sinhala/data/cd/cdd4aedf07.flac,බොහෝ යවිඳින්නට අපූරු තෝතැන්නකිකු
asr_sinhala/data/1a/1a25a8648a.flac,අපට වර්ජන ක්‍රියා මාර්ගයකට යාමට සිදු වුණේ
asr_sinhala/data/67/676d188929.flac,කලඑළියක් ලද බව නම් කවුරුත් කියති.
asr_sinhala/data/a0/a0dcc5509d.flac,සල්ලි වලට
asr_sinhala/data/c2/c26ae95901.flac,වස්තුව ගෙවල් දොරවල් ඉඩ කඩම්.
asr_sinhala/data/f8/f89e3e130a.flac,උත්සාහ ගන්නවා.
asr_sinhala/data/10/10d19a2ca7.flac,මුන් ඇහිඳගෙන කකා.
asr_sinhala/data/55/550ab23afe.flac,ඔයා ඒක වරදවා
asr_sinhala/data/ef/ef5882f4d4.flac,හැමෝම දැනගෙන උන්නා
asr_sinhala/data/5c/5ce9d2cf16.flac,විකල්ප බලවේගපැමිණීම හමුවේ
asr_sinhala/data/15/157f27cfde.flac,මේ ලෝකය කොයි තරම් ලස්සන වෙනවද?
asr_sinhala/data/e6/e694761f4b.flac,අපේ රටේ මෝඩ ගොවීන් කවදාවත්
asr_sinhala/data/9e/9e36a595c6.flac,මොකද ඉරටු සුද්ද කිරිල්ල සෑහෙන වෙලාවක් යන වැඩක් නිසා.
asr_sinhala/data/7b/7bb1ae8137.flac,එම අවස්ථාවේ ජයාරූප එකතුවක්
asr_sinhala/data/b0/b0577e4800.flac,එය පිළිගත් බුදුරජාණන් වහන්සේ
asr_sinhala/data/0d/0d1747bae1.flac,හැම ආගමක්ම උත්සාහ කලේ
asr_sinhala/data/0b/0b2d918e63.flac,මෙම සූත්‍රය දේශනා කරන ලද්දේ
asr_sinhala/data/0e/0e0f75995d.flac,ස්කොට්ලන්තයේ සහ අයර්ලන්තයේ මිනිස්සු
asr_sinhala/data/0a/0a6265974b.flac,ඒත් අපේ ආගමේ
asr_sinhala/data/28/283ee8b9f8.flac,හැබැයි මටනම් එහෙම කන එක
asr_sinhala/data/36/363d7c2efb.flac,ශාස්ත්‍රපති මාහල්ලේ විපුලතිස්ස නාහිමියන්ය
