sentence_cleaned,file
ඒකත් හොඳ පොත අයියෝ,asr_sinhala/data/d5/d52b805392.flac
එසේ කළේ කහ කුරුල්ලාගේ පාද තම ගෙලෙන් තල්ලු කරන ගමන් ය.,asr_sinhala/data/b6/b658f99685.flac
මොවුන් තුල ජනතා හිතවාදී ආකල්ප ඇතැයි කියායි,asr_sinhala/data/eb/ebe360f43e.flac
සර්පයෙකු විසින් දෂ්ට කරන ලද්දේ,asr_sinhala/data/22/227f1fc40b.flac
එම විවිධත්වයට,asr_sinhala/data/c3/c33cee19ff.flac
නිස්කලංකයකින් සහ තෘප්තියකින්,asr_sinhala/data/7a/7ab9913198.flac
සිසු සැරිය ගැමි සැරිය සේවා ක්‍රියාත්මක වෙනවා,asr_sinhala/data/62/624a78c60e.flac
තථාගතයන් වහන්සේ නියම කිරීම ගැන,asr_sinhala/data/d2/d2c11c8afe.flac
තේරුම් ගෙන මෝක්‍ෂ මාර්ගය,asr_sinhala/data/ec/ecd0e87d51.flac
අත දරුවෙකුට පහර දෙන වීඩියෝව දැක්කද?,asr_sinhala/data/62/623f7dedc7.flac
මේ අතුරුදන් වූ පුද්ගලයන් පිළිබඳ,asr_sinhala/data/87/87d7b117c6.flac
මම මුල පුරන්නම් කතා වස්තුව දෙසට,asr_sinhala/data/39/39116cad06.flac
ඩෙංගු ඔය බෙහෙතින් සනීප වෙන්නෙ කොහොමද,asr_sinhala/data/fc/fcaf15acc3.flac
අපේ සංස්කෘතිය එක්ක මිශ්‍රවෙලා තියනවනේ,asr_sinhala/data/36/361d6086d4.flac
අනිත්‍යතාව නිසා තමයි,asr_sinhala/data/21/2198642cf5.flac
සමහර විෂුවල් වලට සහතිකය දෙන්නත් පුළුවන්,asr_sinhala/data/e8/e864e42e3a.flac
එතකොටවුනත් වැඩිවෙන්න පුළුවන්,asr_sinhala/data/44/44250c1481.flac
කවම දාකවත් අමතක වෙන්නෙ නැහැ,asr_sinhala/data/31/31888ef1d9.flac
හිතලා බලන්න,asr_sinhala/data/ff/ff481970cc.flac
ෆොන්සේකට මෙතරම් සලකන්නේ?,asr_sinhala/data/dc/dc17c9d87c.flac
"එනම් මේ අය භාවනාව වර්ණනා කරන්නේත්,",asr_sinhala/data/46/46d6717365.flac
එනිසාම බොහෝ දෙනෙක්,asr_sinhala/data/07/07e7d0089e.flac
කොළඹ ආසන්නයේ රූපලාවණ්‍යායතනයක් කරගෙන යන,asr_sinhala/data/e2/e20430ce57.flac
"දැන ඉගෙනීම, යහපත් කරුණකි.",asr_sinhala/data/ae/aec9d77676.flac
මේ දැන් බාල ඉවර වුනේ.,asr_sinhala/data/40/4018a5bfc6.flac
ඍග්වේදයේ දැක්වෙන පරිදි හොඳ අය,asr_sinhala/data/e4/e4d18b276b.flac
එමගින් බුදුන්ට අපහාස කරනවා.,asr_sinhala/data/52/52285f251a.flac
මේ සේරම ටික කියවල බැලුවම,asr_sinhala/data/6a/6af6eb3b53.flac
අනික ඕක ගලේ ගැහුවා කියල,asr_sinhala/data/37/372f616fc1.flac
ඉතින් මේ ලිපිය ලියලා තියෙන මනුස්සයා,asr_sinhala/data/24/24b2d2113e.flac
ඒත් බලාගෙන යනකොට,asr_sinhala/data/a6/a6f4009fd2.flac
ඒත් හවසට කරෝල බදින්න,asr_sinhala/data/1a/1a13a58342.flac
හැකියාව ද ඔවුනට ඇත.,asr_sinhala/data/bc/bc3e1f24e1.flac
එනම් සසර පැවැත්මෙන් මිදීම,asr_sinhala/data/49/49f4661b07.flac
ඔබ දැන් එළියට ඇවිල්ලා,asr_sinhala/data/dd/dd35c55731.flac
දළපූට්ටුවා මිය ගියේය,asr_sinhala/data/65/654777eafe.flac
ඉකුත් වසරේ පැවැති,asr_sinhala/data/ff/fffee1df1a.flac
මෙම පූජනීය ස්ථානයට,asr_sinhala/data/a7/a73ae7fae4.flac
අංගම්පොරට ගුවන් හමුදාව පණ පිඹේ සඳහා ලැබී ඇති ප්‍රතිචාර,asr_sinhala/data/5e/5e7fcb5b1a.flac
මැදිවී කතා කරන්නේ නීති විශාරදයන්ය.,asr_sinhala/data/06/06ade2fcc8.flac
ගල් කපන්න,asr_sinhala/data/7e/7e19015899.flac
එහෙම උන්ට හම්බවෙන ළමයින්ට,asr_sinhala/data/fa/faa96e44d8.flac
මේ ස්ථාන නැරැඹීමෙන්,asr_sinhala/data/60/600d4715d4.flac
ගොන්න අතරින් සොයාගැනීමට හැකිවිය,asr_sinhala/data/ee/eefd766553.flac
අයියා මටත්,asr_sinhala/data/db/dbef57b059.flac
ඔහු තම ගෝලයන් දැන දැන රවටන බවය,asr_sinhala/data/72/72c68143fe.flac
උන් නැත්තන් උඹලට මේ වගේ කොමෙන්ට් එකක් වත් දාන්ඩ පුලුවන්ද,asr_sinhala/data/24/24a6e31681.flac
අපි යම්කිසි නර්තනයක් රැගෙන,asr_sinhala/data/34/342452219c.flac
ගොඩක් වෙලාවට අනික් බොහෝ දෙනා වගේ,asr_sinhala/data/0f/0fa3e191fd.flac
ඉන්දියාව උත්සාහ කරමින් සිටියි,asr_sinhala/data/0e/0eab5035c5.flac
දැක දැන ගන්නට ලැබිණි.,asr_sinhala/data/68/682438f17c.flac
උන්වහන්සේට සතුන් ගැන කරුණාවක් නොව,asr_sinhala/data/69/691e69439c.flac
ඉන්පසු අවස්ථා දෙකකදී,asr_sinhala/data/49/497171bbee.flac
සිත් ගන්නා සුළුය,asr_sinhala/data/7a/7acd4a8257.flac
රජය ඒ ක්‍රියා මාර්ග,asr_sinhala/data/12/12ac945081.flac
අපහාස පිනිස ලියවුනු දේ නොවේ,asr_sinhala/data/19/196eaca76b.flac
ඔයා වෙනත් සජාතීය ජන සමූහයකට,asr_sinhala/data/0d/0d8df21f14.flac
පිටිකිරි වලයි පෝෂණය,asr_sinhala/data/9a/9a3704087d.flac
‘බෞධයකු’ යයි පුන පුනා කීම නිසා,asr_sinhala/data/9d/9df4ff43c3.flac
ඇඳේ හාන්සි වුණා.,asr_sinhala/data/bf/bfe69c0a6d.flac
ඇඟ ටිකක් චරිතයට අනුරූපවෙන විදිහට සකස් කරගන්න එක විතරයි,asr_sinhala/data/31/3168e91d69.flac
ඔබ රවටා ඡන්ද පැහැරගන්න ‍නෙවෙයි.,asr_sinhala/data/d0/d05bea0d04.flac
එතන ගියොත් ඉගෙන ගන්න ඒව පැත්තක මාර්තු වෙනකන්,asr_sinhala/data/df/dfd6804b1a.flac
හාස්‍යයට කරුණකි.,asr_sinhala/data/89/89946c12ca.flac
ඔහොම දාන්න යන්න එපා.,asr_sinhala/data/35/35495d8956.flac
තමන්ගෙත් තම දරුවන්ගෙත් අනාගතය,asr_sinhala/data/c2/c272177359.flac
මේ යුද්දේ සඳහා යොදවනවා,asr_sinhala/data/53/535eec84f9.flac
කිසිදු විටෙක පරිසරය කෙලෙසීමට,asr_sinhala/data/9e/9e7be56d51.flac
ආණ්ඩුකාර පදවියේ වැඩ බලද්දීය.,asr_sinhala/data/0f/0f87f7971b.flac
දක්ෂ වෙන්නේ බුද්ධිමත් කෙනා විතරයි.,asr_sinhala/data/a9/a9899cbfc9.flac
අයවැය යෝජනාවලට අනුව,asr_sinhala/data/2a/2a859faa90.flac
චංගුමී යැයි සමීක්ෂණවලින් හෙළි වී ඇත.,asr_sinhala/data/75/7511d18032.flac
ඔයාට තිබුණානේ මේ ආරක්‍ෂක කමිටුවට හරි,asr_sinhala/data/0a/0ae16fd681.flac
එම නිසා කිසිදු තැනකින්,asr_sinhala/data/2f/2f04874081.flac
මෙතෙක් ලෝකයේ හමු වී ඇති විශාලතම සත්වයාගේ අස්ථි,asr_sinhala/data/fe/fe0cf35c7b.flac
ඉරිඟු පොතු එකතු කර සැකසූ,asr_sinhala/data/12/124b17ac6c.flac
කැමති දෙයක් කරගන්නට ඉඩ හැර තිබුණි.,asr_sinhala/data/ed/ed4bd64722.flac
කිව්වේ ඒක,asr_sinhala/data/fa/faeab163cd.flac
බුදුරදුන්ගේ ලලාට ධාතූන් නිධන් කොට,asr_sinhala/data/0f/0f789584fd.flac
පසුදින පැවැත්වීමට නියමිත,asr_sinhala/data/e2/e24f9a6fc9.flac
එවිට තථාගතයන් වහන්සේ වදාළා,asr_sinhala/data/3a/3aaa337641.flac
අපි කතාකල යුත්තේ,asr_sinhala/data/42/4218ef2202.flac
ආටිගල ගාල්ලේ දිස්ත්‍රික් උසාවියේ,asr_sinhala/data/c5/c5f739cfe5.flac
සබ් එක කනෙක්ට් කරල තමා අහන්නෙ.,asr_sinhala/data/a5/a537a7e6bb.flac
මජ්ඣිම නිකායේ සල්ලේඛ සූත්‍රයේ,asr_sinhala/data/b6/b6dd8cbaab.flac
ඒත් ම‍ගේ ජීවිත කාලය තුල නං,asr_sinhala/data/13/135989b549.flac
අර දිනපොතට බ්ලොග් එකක්.,asr_sinhala/data/5e/5ee7ef8227.flac
මෙහිදී ජන ගී ප්‍රධාන කොටස් දෙකකට,asr_sinhala/data/cc/cc7065793e.flac
දාන්න බැරි වෙන අවස්ථා තිබේ.,asr_sinhala/data/eb/ebe0243e55.flac
බුදුරජාණන් වහන්සේ කොච්චර ලස්සන උපමාවක්ද,asr_sinhala/data/0e/0ef3b921cb.flac
පස්සට ගත්ත මිනිහෙක් නෙවෙයි ඔහු.,asr_sinhala/data/e5/e5121bab98.flac
අංග රැසක්,asr_sinhala/data/87/8793fa8bbf.flac
කලූ සුද්දන් ටික ඒ සඳහා අවශ්‍ය පිළියම් කරනවාද,asr_sinhala/data/b0/b09ee1be3c.flac
ධම්මානන්ද හිමියෝ වැඩිදුරටත් ඉල්ලා සිටිති.,asr_sinhala/data/05/05963eeb02.flac
අදත් තියෙන්නේ කතන්දරයක් තමයි,asr_sinhala/data/31/3148616874.flac
සීල පාරිශුද්ධිය බෙහෙවින්,asr_sinhala/data/e0/e0b9d3091e.flac
උන්වහන්සේ මෑජික්කාරයෙක් නොවේ,asr_sinhala/data/28/2885c4eea8.flac
අපිට අපේ පරණ උදාගේ සබ් ආපහු ඕනේ.,asr_sinhala/data/e3/e30ba255e6.flac
ඒ වෘත්තියට අදාළ කටයුතු කිරීමට,asr_sinhala/data/2e/2ed41fa8ef.flac
හොඳම ගොදුර වී ඇත්තේ මේ අහින්සකයින්ය,asr_sinhala/data/60/60ba602066.flac
සාමාන්‍ය කෙනෙකුට එහෙම වුණා නම්,asr_sinhala/data/c8/c8933fcce0.flac
ලබාගන්නට පුළුවන් බව.,asr_sinhala/data/54/54881221b2.flac
දේවාලයක් කියලා.,asr_sinhala/data/0d/0dcbbcf610.flac
ඇතැම් කොටස් යොදා ගන්නා බව පැවසේ.,asr_sinhala/data/1a/1a3ac52742.flac
ඒ ආකරයට නේද?,asr_sinhala/data/41/41e7737496.flac
මහායානිකයන්ට අනුව,asr_sinhala/data/a2/a247bc109c.flac
ඒක දෙමළ මචං කියලා ගත්තොත්,asr_sinhala/data/2f/2f5de29c3d.flac
පුදුම කලබලයකින්නෙ දෙවැනි පොත ලිව්වෙ,asr_sinhala/data/a7/a73d3d15fa.flac
විරුද්ධ වෙනවා,asr_sinhala/data/28/281f0f6af5.flac
මේ දක්වාම දැකගත හැකි වන සත්‍යයකි.,asr_sinhala/data/43/433136d26b.flac
හැම වචනයක්ම මේ ලිපියේ අන්තර්ගතයි.,asr_sinhala/data/42/429aee9477.flac
නංගිලා මල්ලිලා එන්න,asr_sinhala/data/21/21be3fdf36.flac
බොහොම අසරණ පීඩිත එකක් වෙන්න පුළුවන්.,asr_sinhala/data/18/18997602b2.flac
මේ ලෝකයෙහි කිසිවකුට හෝ,asr_sinhala/data/a4/a462e6b3d2.flac
එය යථාර්තවාදයෙන් ඔබ්බට,asr_sinhala/data/39/3938b679b3.flac
එවිට කිව්වේ අපරාධ පරීක්ෂණ දෙපාර්තමේන්තුවේ,asr_sinhala/data/61/6146af0e75.flac
ඉතින් එහෙම ඒ කොටස අවසන් උනාට,asr_sinhala/data/c1/c172bccc2a.flac
බ්ලොග් එකක් ලියන එක,asr_sinhala/data/b2/b21c9a4d2b.flac
එම ස්තූපය,asr_sinhala/data/87/87992ff1f0.flac
සෑම අයෙක් ම සමාජගත,asr_sinhala/data/89/898a5168ce.flac
සිහින මවන්නේ ඇයි?,asr_sinhala/data/da/da79c0b329.flac
අද කියනේ කොමද,asr_sinhala/data/63/63d3d30b39.flac
එක් ජාතිවාදයක් වර්ධනය වන තරමටම,asr_sinhala/data/32/3227ac821f.flac
මේ ටිකේ දඟයා පේන්න නොහිටියේ ඇයී කියලා,asr_sinhala/data/e5/e5f93de55b.flac
නිකාය බේදය නිලධාරි වාදය වත් නවත්වන්න පුලුවන් වුනාද?,asr_sinhala/data/03/03b5e5f6bb.flac
මාර්ග ඵල අවබෝධයට පත් වීමෙන්,asr_sinhala/data/e0/e01da257ba.flac
පිළිගත් නිසා,asr_sinhala/data/09/09af1f90f3.flac
එය කිසිසේත් මා බලාපොරොත්තු ව සිටි ප්‍රශ්නයක් නොවේ.,asr_sinhala/data/f3/f3b9918712.flac
සමාන්තර අත්දැකීම් තිබූ විට පමණි.,asr_sinhala/data/ab/ab4a3c3aed.flac
අම්බානක වැරදි ඇති,asr_sinhala/data/24/24b86aa7af.flac
දානයක් දුන්නා නම්,asr_sinhala/data/85/850b146d03.flac
"මවට පියාට ආහාර පාන,",asr_sinhala/data/d8/d8e274cae2.flac
එක එකාගේ සීමා ආක්‍රමණය කරන්න නෑනේ.,asr_sinhala/data/1d/1d8deb306f.flac
රෝහලක් වශයෙන් ද පවත්වාගෙන ගොස් ඇත.,asr_sinhala/data/54/54e5f55505.flac
අපේ ඊළඟ ඉලක්කය විය යුත්තේ,asr_sinhala/data/24/2417c14a5f.flac
දෙවෙනි ධ්‍යානයේ හිත පුහුණු කරන්න,asr_sinhala/data/ba/baa451c4ee.flac
ඒ ඒ සුළු පිරිසගේ ප්‍රයෝජනයට.,asr_sinhala/data/ff/ff41f33202.flac
අපි දෙවියන් වහන්සේට ළං වෙන්න වෙන්න,asr_sinhala/data/7e/7ef21a0466.flac
මෙච්චර වැදගත් පරීක්ෂණය ගැන හරි,asr_sinhala/data/0c/0c690d36f4.flac
එය කණ වැකුණු සැදැහැවත්හු,asr_sinhala/data/6b/6bc6a55a61.flac
වෙලේ ඒ ස්වයං ඝාතක චීවරධාරියා,asr_sinhala/data/1d/1d311cab0d.flac
අවසානයට ඇතිවෙන ආදරය කියලා.,asr_sinhala/data/fa/faea0b6670.flac
අධ්‍යාපන අමාත්‍යංශය මගින් පිළිගෙන,asr_sinhala/data/24/24d265adb7.flac
ඇතැම් මාධ්‍ය වාර්තා කරන පරිදි ඔහු නීතියට කට්ටි පනිමින් සිටි පුද්ගලයෙකි.,asr_sinhala/data/66/665714805f.flac
පොදු සංස්කෘතියකින් දිග හැරෙන කතාවකි.,asr_sinhala/data/d5/d591574f14.flac
ඒක එයාගේ ගොන්කමනේ,asr_sinhala/data/12/12d001e21d.flac
සිරාවටම මමත් ගොඩක් ආසයි,asr_sinhala/data/b1/b125059131.flac
කෝ මටත් සිංදු ටික දෙන්ටකො!,asr_sinhala/data/28/28d8004df5.flac
සැකකරුවන් තිදෙනා සහ ඔවුන් විසින්,asr_sinhala/data/11/11f05cc609.flac
වන්දනා කළ සංස්කෘත ශ්ලෝක දහයකින් යුත් ලිපියක් ද,asr_sinhala/data/7e/7e9d9a116b.flac
"මහා නා හිමියන් ගෙවූ සරල, ජීවන රටාව ය.",asr_sinhala/data/74/74ba4a2be8.flac
එබැවින් පඤ්චකාම වස්තුන්,asr_sinhala/data/a9/a93f8933e7.flac
ඉහල ඉඳන් පහලට වෙනකන් එක එක සයිස් එකේ කුට්ටි වලින්,asr_sinhala/data/01/0152902134.flac
ඒකෙන් කියවෙන්නේ තමන් එකේ,asr_sinhala/data/4d/4d875a4863.flac
මිනිස් මනස සහ අධ්‍යාත්මික පැත්ත දිහා,asr_sinhala/data/87/878045c681.flac
"එතකොට, එක් එක් ආත්මභාවවල",asr_sinhala/data/b4/b404e4adb6.flac
හැබැයි මෙයා කරන පිළිවෙලට නම්,asr_sinhala/data/d1/d15d108c82.flac
යම්කිසි ආර්ථික දියුණුවක් ඇද්ද,asr_sinhala/data/2e/2eda45ce30.flac
දෙරණ ටිවී මිස් ශ්‍රී ලංකා වීමත් එක්ක,asr_sinhala/data/87/87d2c88d2c.flac
එය වැරැදි හෝ නිවැරදි යි,asr_sinhala/data/5d/5d69f90329.flac
කෙබඳු තැනක උපදීද?,asr_sinhala/data/63/6346b3e103.flac
තිබිච්ච වචනයක් නෙමෙයි.,asr_sinhala/data/6b/6b8e92094c.flac
ඉඩකඩ සහ පහසුකම් පිළිබඳ,asr_sinhala/data/eb/eb701ddea8.flac
ගමින් නොවේ,asr_sinhala/data/b2/b2a5f2e483.flac
ජපන් සෙන් ගුරුවරයෙක්,asr_sinhala/data/88/880444f5b1.flac
මෙය පුරාණයේ සිට පැවැත එන සුප්‍රකට ප්‍රවාදයක්.,asr_sinhala/data/d1/d1b2183c34.flac
මනා ගුරු ගෝල සම්බන්ධතාව මත,asr_sinhala/data/da/da355c9588.flac
මෙ කතා සාමාන්‍ය ජනයා තුළ,asr_sinhala/data/1f/1fd34cab06.flac
ඔයාට ඕන හෝටලයකින් කන්න පුළුවන්,asr_sinhala/data/48/480ef837cc.flac
ඊට පසුව වෙන දේවල්,asr_sinhala/data/f8/f8a83ebdbc.flac
චිතකයෙන් භෂ්මාවශේෂ ඉවත් කරගන්නා තෙක්,asr_sinhala/data/19/195e069c11.flac
ඒත් ඉතින් මට,asr_sinhala/data/b8/b878a6405f.flac
ඓතිහාසික තොරතුරු අනුව අනාවරණය වේ.,asr_sinhala/data/cb/cb5f43163d.flac
දන්නැත්තං කියල දෙන්නං,asr_sinhala/data/ff/ff8fd24020.flac
හැදුවේ කව්ද කියන්න දන්නේ නැහැනේ,asr_sinhala/data/d1/d1d9080712.flac
විවිධ ඇඳුම් වර්ග ඇඳගත් අයත් ඉන්නවා,asr_sinhala/data/d5/d57292f547.flac
එයින් පෙනෙන්නේ රටට හිමි වාසිය,asr_sinhala/data/27/279cb87af0.flac
සාධාරණයි කියලා මට හිතෙනවා.,asr_sinhala/data/0b/0b0c0724e1.flac
මංකොල්ලකෑම් සංඛ්‍යාවක්,asr_sinhala/data/fe/feb0209176.flac
සමාජය තුළ ඇතිවන්නේ දියුණුවකි.,asr_sinhala/data/64/649c09d4a2.flac
යථාර්ථවාදී නොවන සිද්ධීන් යනු,asr_sinhala/data/4e/4e1c07d331.flac
සැප්තැම්බර් මස 22 වැනි දා සෙනසුරාදා,asr_sinhala/data/86/86a58e045e.flac
ඉතින් ඔයාලම බලන්න,asr_sinhala/data/d0/d06ea3877a.flac
සැපක් තේරෙන්නෙත් නැත,asr_sinhala/data/01/01ba3e660a.flac
මෙලොව ජීවිතය ගත කරයි.,asr_sinhala/data/39/39e3a32caf.flac
සදාකාලික වශයෙන්,asr_sinhala/data/6e/6e1e72aa8f.flac
අපි දන්නව,asr_sinhala/data/04/044a7c9491.flac
එම සීමාව නම්,asr_sinhala/data/de/de39a6500c.flac
එල්ලුම්ගහට තියා පොලිස් කූඩුවටවත් යවන්න.,asr_sinhala/data/a1/a192de3cab.flac
පැවිද්දාට අදාළ සම්මා ආජීවය නම්,asr_sinhala/data/68/688c0f07ed.flac
සිංහලත් එක්ක දෙන්න හැකිනම්,asr_sinhala/data/bd/bde6e4237c.flac
ලෝකෙ ඉන්න අනික් එවුන්ට විෂබීජ යන්නෙ නැද්ද?,asr_sinhala/data/1a/1a8b166aba.flac
අපේ වධකයින්ට විශේෂයෙන්ම පොලීසිය,asr_sinhala/data/63/63e9b19bc9.flac
අරුණළු පැතිරෙන හිමිදිරි යාමේ,asr_sinhala/data/38/389680ec47.flac
එමෙන්ම විලාසිතා කෙරෙහි දක්වන වැඩි නැඹුරුව තුළ,asr_sinhala/data/a8/a852ade325.flac
ඇය අපත් සමග සමීපව කටයුතු කළ අවස්ථා තිබුණේ කීපයක් පමණයි.,asr_sinhala/data/50/5026ba3f0d.flac
පොඩි ගොවිපලකුත් තියෙනවා.,asr_sinhala/data/96/96b079887d.flac
ඇතැම් කවි,asr_sinhala/data/ab/ab39bcb4cd.flac
අපට තිබූ සරල ප්‍රශ්ණ මේවායි,asr_sinhala/data/85/85d3e81dfa.flac
අප දැන් සමත් වී තිබෙනවා,asr_sinhala/data/08/081e6e5f07.flac
බව හෙළි වී තිබේ.,asr_sinhala/data/4b/4b75868e67.flac
ඒත් කැලේ සත්තු,asr_sinhala/data/0a/0aa1e25056.flac
ඒවා අහල ඒ අය තීරණය කළා,asr_sinhala/data/78/780a2c43ed.flac
බුද්ධ ශ්‍රේෂ්ඨ තෙමේ,asr_sinhala/data/7b/7be979707a.flac
ඔබ කන්න තව කන්න,asr_sinhala/data/fb/fb37ae8b3e.flac
එය සුව කිරීමට තැත් කිරීමේදී,asr_sinhala/data/fa/fa7e618d79.flac
සුපර් හීරෝ චිත්‍රපටය ලෙසයි,asr_sinhala/data/e8/e8cb84685e.flac
ෂිවාම් පටිල් කියල අලුතෙන්ම හින්දි සිනමාවට,asr_sinhala/data/d5/d5c4d54eaa.flac
මේනිසා උකුසු උවදුරට ලක් කරගැනීම අපහසු විය.,asr_sinhala/data/fd/fde5f9d1e5.flac
ඉතාමත්ම තීරණාත්මක බවයි,asr_sinhala/data/1c/1c6013a9cd.flac
